# Copyright (c) 1966-2023 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2023-08-27
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)					
615112	phenotype			
615113	phenotype			
615114	gene	9658	ZNF516	ENSG00000101493
615115	gene	80816	ASXL3	ENSG00000141431
615116	gene	374768	SPEM1	ENSG00000181323
615117	gene	84281	C2orf88	ENSG00000187699
615118	moved/removed			
615119	phenotype			
615120	phenotype			
615121	phenotype			
615122	phenotype			
615123	gene	88455	ANKRD13A	ENSG00000076513
615124	gene	124930	ANKRD13B	ENSG00000198720
615125	gene	81573	ANKRD13C	ENSG00000118454
615126	gene	338692	ANKRD13D	ENSG00000172932
615127	phenotype			
615128	gene	201254	CENPX	ENSG00000169689
615129	gene	11227	GALNT5	ENSG00000136542
615130	gene	63917	GALNT11	ENSG00000178234
615131	gene	117248	GALNT15	ENSG00000131386
615132	gene	57452	GALNT16	ENSG00000100626
615133	gene	168391	GALNTL5	ENSG00000106648
615134	phenotype			
615135	phenotype			
615136	gene	374378	GALNT18	ENSG00000110328
615137	gene	64409	GALNT17	ENSG00000185274
615138	gene	442117	GALNTL6	ENSG00000174473
615139	phenotype			
615140	gene	113246	C12orf57	ENSG00000111678
615141	moved/removed			
615142	gene	84643	KIF2B	ENSG00000141200
615143	gene	10868	USP20	ENSG00000136878
615144	gene	203074	PRSS55	ENSG00000184647
615145	phenotype			
615146	gene	23032	USP33	ENSG00000077254
615147	phenotype			
615148	gene	693135	MIR551A	ENSG00000207776
615149	gene	574453	MIR495	ENSG00000207743
615150	gene	406966	MIR191	ENSG00000207605
615151	gene	407031	MIR30C1	ENSG00000207962
615152	gene	23008	KLHDC10	ENSG00000128607
615153	gene	197259	MLKL	ENSG00000168404
615154	gene	143241	DYDC1	ENSG00000170788
615155	phenotype			
615156	phenotype			
615157	phenotype			
615158	phenotype			
615159	phenotype			
615160	phenotype			
615161	gene	3120	HLA-DQB2	ENSG00000232629
615162	phenotype	101409266		
615163	phenotype	101409267		
615164	gene	79647	AKIRIN1	ENSG00000174574
615165	gene	55122	AKIRIN2	ENSG00000135334
615166	gene	152100	CMC1	ENSG00000187118
615167	gene	222229	LRWD1	ENSG00000161036
615168	gene	155185	AMZ1	ENSG00000174945
615169	gene	51321	AMZ2	ENSG00000196704
615170	phenotype			
615171	gene	100134040		
615172	gene	51136	RNFT1	ENSG00000189050
615173	gene	100885779	LINC-ROR	ENSG00000258609
615174	predominantly phenotypes	157739	TDH	ENSG00000154316
615175	gene	83723	TLCD3B	ENSG00000149926
615176	gene	101241892	NPTN-IT1	ENSG00000281183
615177	gene	55658	RNF126	ENSG00000070423
615178	gene	79036	KXD1	ENSG00000105700
615179	phenotype			
615180	gene	29090	TIMM21	ENSG00000075336
615181	phenotype			
615182	phenotype			
615183	gene	199990	FAAP20	ENSG00000162585
615184	phenotype			
615185	phenotype			
615186	gene	57703	CWC22	ENSG00000163510
615187	gene	27315	PGAP2	ENSG00000148985
615188	phenotype			
615189	gene	79722	ANKRD55	ENSG00000164512
615190	phenotype			
615191	phenotype			
615192	phenotype	101448071		
615193	phenotype			
615194	gene	10202	DHRS2	ENSG00000100867
615195	gene	728635	DHRS4L1	
615196	gene	317749	DHRS4L2	ENSG00000187630
615197	phenotype	101448072		
615198	phenotype			
615199	gene	83650	SLC35G5	ENSG00000177710
615200	gene	79156	PLEKHF1	ENSG00000166289
615201	gene	100302210	MIR1909	ENSG00000284216
615202	gene	100302129	MIR1915	ENSG00000222071
615203	gene	57414	RHBDD2	ENSG00000005486
615204	gene	84833	ATP5MK	ENSG00000173915
615205	gene	153218	SPINK13	ENSG00000214510
615206	phenotype			
615207	phenotype			
615208	gene	79666	PLEKHF2	ENSG00000175895
615209	gene	406941	MIR149	ENSG00000207611
615210	gene	57092	PCNP	ENSG00000081154
615211	gene	115426	UHRF2	ENSG00000147854
615212	gene	126755	LRRC38	ENSG00000162494
615213	gene	219527	LRRC55	ENSG00000183908
615214	phenotype			
615215	gene	157855	KCNU1	ENSG00000215262
615216	gene	90990	KIFC2	ENSG00000167702
615217	phenotype			
615218	gene	440699	LRRC52	ENSG00000162763
615219	phenotype			
615220	phenotype			
615221	phenotype			
615222	phenotype			
615223	gene	338376	IFNE	ENSG00000184995
615224	phenotype			
615225	phenotype			
615226	phenotype			
615227	gene	389941	C1QL3	ENSG00000165985
615228	phenotype			
615229	gene	338761	C1QL4	ENSG00000186897
615230	gene	101515984	LINC01080	
615231	gene	54542	RC3H2	ENSG00000056586
615232	phenotype			
615233	phenotype			
615234	phenotype			
615235	phenotype			
615236	predominantly phenotypes			
615237	phenotype			
615238	phenotype			
615239	gene	407043	MIR7-1	ENSG00000284179
615240	gene	79047	KCTD15	ENSG00000153885
615241	gene	257000	TINCR	ENSG00000223573
615242	gene	388588	SMIM1	ENSG00000235169
615243	gene	245928	DEFB114	ENSG00000177684
615244	phenotype			
615245	gene	768213	MIR671	ENSG00000284191
615246	gene	79413	ZBED2	ENSG00000177494
615247	gene	84197	POMK	ENSG00000185900
615248	phenotype			
615249	phenotype			
615250	gene	84327	ZBED3	ENSG00000132846
615251	gene	58486	ZBED5	ENSG00000236287
615252	gene	113763	ZBED10P	
615253	gene	63920	FAM200C	ENSG00000221886
615254	gene	114821	SCAND3	ENSG00000232040
615255	gene	92342	METTL18	ENSG00000171806
615256	gene	254013	ETFBKMT	ENSG00000139160
615257	gene	151194	METTL21A	ENSG00000144401
615258	gene	25895	EEF1AKMT3	ENSG00000123427
615259	gene	196541	METTL21C	ENSG00000139780
615260	gene	79609	VCPKMT	ENSG00000100483
615261	gene	79091	METTL22	ENSG00000067365
615262	gene	124512	METTL23	ENSG00000181038
615263	gene	196483	EEF2KMT	ENSG00000118894
615264	phenotype			
615265	gene	23360	FNBP4	ENSG00000109920
615266	phenotype			
615267	phenotype			
615268	phenotype			
615269	phenotype			
615270	phenotype			
615271	phenotype			
615272	phenotype			
615273	phenotype			
615274	phenotype			
615275	gene	730249	ACOD1	ENSG00000102794
615276	gene	204219	CERS3	ENSG00000154227
615277	phenotype			
615278	phenotype			
615279	phenotype			
615280	phenotype			
615281	phenotype			
615282	phenotype			
615283	gene	149371	EXOC8	ENSG00000116903
615284	phenotype			
615285	phenotype			
615286	phenotype			
615287	phenotype			
615288	gene	92749	DRC1	ENSG00000157856
615289	gene	126353	MISP	ENSG00000099812
615290	phenotype			
615291	gene	126792	B3GALT6	ENSG00000176022
615292	gene	63901	FAM111A	ENSG00000166801
615293	phenotype			
615294	phenotype			
615295	gene	9736	USP34	ENSG00000115464
615296	gene	84639	IL1F10	ENSG00000136697
615297	phenotype			
615298	phenotype			
615299	gene	158046	NXNL2	ENSG00000130045
615300	phenotype			
615301	gene	54867	TMEM214	ENSG00000119777
615302	gene	113179	ADAT3	ENSG00000213638
615303	gene	7197	TRG-TCC1-1	
615304	gene	100189416	TRV-CAC3-1	
615305	gene	7231	TRR-ACG1-2	
615306	gene	100189227	TRV-CAC1-6	
615307	gene	100189014	TRV-AAC5-1	
615308	gene	100189161	TRV-AAC4-1	
615309	gene	100189340	TRT-AGT2-2	
615310	gene	100189318	TRV-AAC1-1	
615311	phenotype			
615312	phenotype	101926885		
615313	gene	93010	B3GNT7	ENSG00000156966
615314	phenotype			
615315	gene	192134	B3GNT6	ENSG00000198488
615316	gene	200205	IBA57	ENSG00000181873
615317	gene	122961	ISCA2	ENSG00000165898
615318	gene	51522	TMEM14C	ENSG00000111843
615319	gene	55364	IMPACT	ENSG00000154059
615320	gene	29925	GMPPB	ENSG00000173540
615321	gene	54102	CLIC6	ENSG00000159212
615322	gene	375387	NRROS	ENSG00000174004
615323	gene	9929	JOSD1	ENSG00000100221
615324	gene	126119	JOSD2	ENSG00000161677
615325	moved/removed			
615326	gene	56832	IFNK	ENSG00000147896
615327	phenotype			
615328	phenotype			
615329	gene	55770	EXOC2	ENSG00000112685
615330	phenotype			
615331	gene	26145	IRF2BP1	ENSG00000170604
615332	gene	359948	IRF2BP2	ENSG00000168264
615333	gene	84002	B3GNT5	ENSG00000176597
615334	gene	79603	CERS4	ENSG00000090661
615335	gene	91012	CERS5	ENSG00000139624
615336	gene	253782	CERS6	ENSG00000172292
615337	gene	146712	B3GNTL1	ENSG00000175711
615338	phenotype			
615339	gene	29103	DNAJC15	ENSG00000120675
615340	gene	131377	KLHL40	ENSG00000157119
615341	gene	284541	CYP4A22	ENSG00000162365
615342	phenotype			
615343	phenotype			
615344	phenotype			
615345	gene	389827	MYMK	ENSG00000187616
615346	phenotype			
615347	gene	54454	ATAD2B	ENSG00000119778
615348	phenotype			
615349	phenotype			
615350	phenotype			
615351	phenotype			
615352	phenotype			
615353	gene	25901	CCDC28A	ENSG00000024862
615354	gene	55791	LRIF1	ENSG00000121931
615355	phenotype			
615356	phenotype			
615357	gene	374907	B3GNT8	ENSG00000177191
615358	gene	221264	AK9	ENSG00000155085
615359	gene	54468	MIOS	ENSG00000164654
615360	phenotype			
615361	phenotype			
615362	phenotype			
615363	phenotype			
615364	gene	122481	AK7	ENSG00000140057
615365	gene	158067	AK8	ENSG00000165695
615366	gene	25926	NOL11	ENSG00000130935
615367	gene	123803	NTAN1	ENSG00000157045
615368	phenotype			
615369	phenotype			
615370	gene	203286	ANKS6	ENSG00000165138
615371	phenotype			
615372	gene	100422991	MIR1260B	ENSG00000266192
615373	phenotype			
615374	phenotype			
615375	gene	134728	IRAK1BP1	ENSG00000146243
615376	phenotype			
615377	phenotype			
615378	phenotype			
615379	gene	723778	MIR650	ENSG00000284049
615380	gene	9870	AREL1	ENSG00000119682
615381	phenotype			
615382	phenotype			
615383	gene	63979	FIGNL1	ENSG00000132436
615384	gene	23514	SPIDR	ENSG00000164808
615385	gene	574436	MIR485	ENSG00000208027
615386	phenotype			
615387	phenotype			
615388	gene	134637	ADAT2	ENSG00000189007
615389	gene	91734	IDI2	ENSG00000148377
615390	phenotype	102095631		
615391	gene	55853	IDI2-AS1	ENSG00000232656
615392	gene	57713	SFMBT2	ENSG00000198879
615393	gene	130916	MTERF4	ENSG00000122085
615394	gene	387338	NSUN4	ENSG00000117481
615395	phenotype			
615396	phenotype			
615397	phenotype			
615398	phenotype			
615399	phenotype			
615400	phenotype			
615401	phenotype			
615402	phenotype			
615403	gene	79228	THOC6	ENSG00000131652
615404	gene	79853	TM4SF20	ENSG00000168955
615405	gene	55970	GNG12	ENSG00000172380
615406	gene	100289178	GNG12-AS1	ENSG00000232284
615407	gene	23568	ARL2BP	ENSG00000102931
615408	gene	55130	ODAD2	ENSG00000169126
615409	gene	124045	SPATA33	ENSG00000167523
615410	gene	112609	MRAP2	ENSG00000135324
615411	phenotype			
615412	phenotype			
615413	phenotype			
615414	phenotype			
615415	phenotype			
615416	gene	727857	BHLHA9	ENSG00000205899
615417	gene	51272	BET1L	ENSG00000177951
615418	phenotype			
615419	phenotype			
615420	phenotype			
615421	gene	201973	PRIMPOL	ENSG00000164306
615422	phenotype			
615423	gene	54931	TRMT10C	ENSG00000174173
615424	phenotype			
615425	phenotype			
615426	phenotype			
615427	gene	84173	ELMOD3	ENSG00000115459
615428	gene	51202	DDX47	ENSG00000213782
615429	phenotype			
615430	gene	85019	TMEM241	ENSG00000134490
615431	phenotype			
615432	phenotype			
615433	phenotype			
615434	phenotype			
615435	gene	30001	ERO1A	ENSG00000197930
615436	phenotype			
615437	gene	56605	ERO1B	ENSG00000086619
615438	phenotype			
615439	phenotype			
615440	phenotype			
615441	phenotype			
615442	gene			
615443	gene			
615444	phenotype			
615445	gene	28638	TRBC2	ENSG00000211772
615446	gene			
615447	gene	28637	TRBD1	ENSG00000282431
615448	gene	28636	TRBD2	ENSG00000292271
615449	gene			
615450	gene	6967	TRGC2	ENSG00000227191
615451	phenotype			
615452	gene	101867536	PRNCR1	ENSG00000282961
615453	phenotype			
615454	gene			
615455	gene			
615456	gene	55531	ELMOD1	ENSG00000110675
615457	phenotype			
615458	phenotype			
615459	gene			
615460	gene			
615461	gene			
615462	gene	55112	DYNC2I1	ENSG00000126870
615463	gene	23334	SZT2	ENSG00000198198
615464	gene	83479	DDX59	ENSG00000118197
615465	phenotype			
615466	gene	59274	TLNRD1	ENSG00000140406
615467	gene	80772	CPTP	ENSG00000224051
615468	phenotype			
615469	gene	693159	MIR574	ENSG00000207944
615470	gene	84902	CEP89	ENSG00000121289
615471	phenotype			
615472	gene	22818	COPZ1	ENSG00000111481
615473	phenotype			
615474	phenotype			
615475	gene	9704	DHX34	ENSG00000134815
615476	phenotype			
615477	gene	222950	NYAP1	ENSG00000166924
615478	gene	57624	NYAP2	ENSG00000144460
615479	gene	23026	MYO16	ENSG00000041515
615480	gene	101669762	BLACAT1	ENSG00000281406
615481	phenotype			
615482	phenotype			
615483	phenotype			
615484	gene	79810	PTCD2	ENSG00000049883
615485	phenotype			
615486	phenotype			
615487	gene	677815	SNORA2C	ENSG00000221491
615488	gene	54934	KANSL2	ENSG00000139620
615489	phenotype			
615490	phenotype			
615491	phenotype			
615492	gene			
615493	phenotype			
615494	gene	56683	CFAP298	ENSG00000159079
615495	gene	29926	GMPPA	ENSG00000144591
615496	gene	123624	AGBL1	ENSG00000273540
615497	gene	54471	MIEF1	ENSG00000100335
615498	gene	125170	MIEF2	ENSG00000177427
615499	gene	57546	PDP2	ENSG00000172840
615500	phenotype			
615501	phenotype			
615502	phenotype			
615503	phenotype			
615504	phenotype			
615505	phenotype			
615506	phenotype			
615507	gene	11188	NISCH	ENSG00000010322
615508	phenotype			
615509	gene	100033819	MIR675	ENSG00000284010
615510	phenotype			
615511	phenotype			
615512	phenotype			
615513	phenotype			
615514	gene	51755	CDK12	ENSG00000167258
615515	phenotype			
615516	phenotype			
615517	phenotype			
615518	phenotype			
615519	gene	146691	TOM1L2	ENSG00000175662
615520	gene	100126354	MIR297	ENSG00000215961
615521	gene	246329	STAC3	ENSG00000185482
615522	phenotype			
615523	phenotype			
615524	phenotype			
615525	gene	22820	COPG1	ENSG00000181789
615526	gene	51226	COPZ2	ENSG00000005243
615527	phenotype			
615528	phenotype			
615529	phenotype			
615530	phenotype			
615531	gene	84283	TMEM79	ENSG00000163472
615532	gene	55780	ERMARD	ENSG00000130023
615533	gene	55863	TMEM126B	ENSG00000171204
615534	gene	51300	TIMMDC1	ENSG00000113845
615535	gene	163183	SYNE4	ENSG00000181392
615536	gene	389073	C2orf80	ENSG00000188674
615537	phenotype			
615538	phenotype			
615539	phenotype			
615540	phenotype			
615541	phenotype			
615542	phenotype			
615543	gene	348110	ARPIN	ENSG00000242498
615544	phenotype			
615545	phenotype			
615546	phenotype			
615547	phenotype			
615548	phenotype			
615549	gene	79798	ARMC5	ENSG00000140691
615550	phenotype			
615551	phenotype			
615552	phenotype			
615553	phenotype			
615554	phenotype			
615555	phenotype			
615556	gene	79969	ATAT1	ENSG00000137343
615557	phenotype			
615558	phenotype			
615559	phenotype			
615560	phenotype			
615561	phenotype			
615562	gene	10615	SPAG5	ENSG00000076382
615563	gene	340371	NRBP2	ENSG00000185189
615564	gene	119559	SFXN4	ENSG00000183605
615565	phenotype			
615566	gene	22903	BTBD3	ENSG00000132640
615567	gene	79934	COQ8B	ENSG00000123815
615568	gene	101669767	SCHLAP1	ENSG00000281131
615569	gene	94081	SFXN1	ENSG00000164466
615570	gene	118980	SFXN2	ENSG00000156398
615571	gene	81855	SFXN3	ENSG00000107819
615572	gene	94097	SFXN5	ENSG00000144040
615573	phenotype			
615574	phenotype			
615575	phenotype			
615576	gene	406961	MIR185	ENSG00000208023
615577	phenotype			
615578	phenotype			
615579	gene	552889	ATXN7L3B	ENSG00000253719
615580	gene	84436	ZNF528	ENSG00000167555
615581	gene	100288711	DUX4L9	ENSG00000224807
615582	phenotype			
615583	phenotype			
615584	gene	374393	FAM111B	ENSG00000189057
615585	gene	146167	SLC38A8	ENSG00000166558
615586	gene	84984	CEP19	ENSG00000174007
615587	gene	23511	NUP188	ENSG00000095319
615588	gene	91689	SMDT1	ENSG00000183172
615589	phenotype	102723100		
615590	phenotype			
615591	phenotype			
615592	phenotype			
615593	phenotype			
615594	gene	100506013	APELA	ENSG00000248329
615595	phenotype			
615596	phenotype			
615597	phenotype			
615598	phenotype			
615599	phenotype			
615600	gene	147948	ZNF582	ENSG00000018869
615601	gene	339896	GADL1	ENSG00000144644
615602	phenotype			
615603	gene	55313	CPPED1	ENSG00000103381
615604	phenotype			
615605	phenotype			
615606	gene	79908	BTNL8	ENSG00000113303
615607	phenotype			
615608	gene	64115	VSIR	ENSG00000107738
615609	gene	283514	SIAH3	ENSG00000215475
615610	gene	222256	CDHR3	ENSG00000128536
615611	gene	10845	CLPX	ENSG00000166855
615612	phenotype	102775567		
615613	gene	283902	HCCAT5	ENSG00000260880
615614	gene	253714	MMS22L	ENSG00000146263
615615	phenotype			
615616	phenotype			
615617	phenotype			
615618	gene	56983	POGLUT1	ENSG00000163389
615619	predominantly phenotypes			
615620	gene	11133	KPTN	ENSG00000118162
615621	gene	55196	RESF1	ENSG00000174718
615622	gene	102659353	THRIL	ENSG00000280634
615623	gene	65260	COA7	ENSG00000162377
615624	gene	643911	CRNDE	ENSG00000245694
615625	phenotype			
615626	gene	84529	CDIN1	ENSG00000186073
615627	gene	140707	BRI3BP	ENSG00000184992
615628	gene	25798	BRI3	ENSG00000164713
615629	phenotype			
615630	phenotype			
615631	phenotype			
615632	phenotype			
615633	phenotype			
615634	gene	84303	CHCHD6	ENSG00000159685
615635	gene	51663	ZFR	ENSG00000056097
615636	phenotype			
615637	phenotype			
615638	gene	9918	NCAPD2	ENSG00000010292
615639	gene	692148	SCARNA10	ENSG00000239002
615640	gene	677775	SCARNA5	ENSG00000252010
615641	gene	677772	SCARNA6	ENSG00000251791
615642	gene	677777	SCARNA12	ENSG00000238795
615643	phenotype			
615644	gene	677767	SCARNA7	ENSG00000238741
615645	gene	677769	SCARNA17	ENSG00000267322
615646	gene	677776	SCARNA8	ENSG00000251733
615647	gene	400629	TEX19	ENSG00000182459
615648	gene	197358	NLRC3	ENSG00000167984
615649	phenotype	448962		
615650	gene	26166	RGS22	ENSG00000132554
615651	phenotype			
615652	gene	55856	ACOT13	ENSG00000112304
615653	gene	284486	THEM5	ENSG00000196407
615654	phenotype	100359395		
615655	gene	84083	ZRANB3	ENSG00000121988
615656	phenotype			
615657	gene	406934	MIR142	ENSG00000284353
615658	phenotype			
615659	gene	23505	TMEM131	ENSG00000075568
615660	gene	4736	RPL10A	ENSG00000198755
615661	gene	84306	PDCD2L	ENSG00000126249
615662	gene	89777	SERPINB12	ENSG00000166634
615663	phenotype			
615664	gene	9840	TESPA1	ENSG00000135426
615665	phenotype			
615666	gene	57604	TRMT9B	ENSG00000250305
615667	gene	375748	ERCC6L2	ENSG00000182150
615668	phenotype			
615669	gene	133418	EMB	ENSG00000170571
615670	phenotype			
615671	gene	84193	SETD3	ENSG00000183576
615672	gene	574456	MIR497	ENSG00000284027
615673	phenotype			
615674	phenotype	102997065		
615675	gene	407027	MIR301A	ENSG00000207996
615676	gene	732253	TDRG1	ENSG00000204091
615677	gene	327657	SERPINA9	ENSG00000170054
615678	gene	83699	SH3BGRL2	ENSG00000198478
615679	gene	83442	SH3BGRL3	ENSG00000142669
615680	gene	114769	CARD16	ENSG00000204397
615681	phenotype			
615682	gene	89778	SERPINB11	ENSG00000206072
615683	phenotype			
615684	gene	164045	HFM1	ENSG00000162669
615685	phenotype			
615686	phenotype			
615687	gene	441925	BECN2	ENSG00000196289
615688	phenotype			
615689	gene	57463	AMIGO1	ENSG00000181754
615690	gene	347902	AMIGO2	ENSG00000139211
615691	gene	386724	AMIGO3	ENSG00000176020
615692	gene	66005	CHID1	ENSG00000177830
615693	gene	399948	COLCA1	ENSG00000196167
615694	gene	120376	POU2AF3	ENSG00000214290
615695	gene	124790	HEXIM2	ENSG00000168517
615696	phenotype			
615697	phenotype	103106902		
615698	gene	23646	PLD3	ENSG00000105223
615699	gene	65998	ZFTA	ENSG00000188070
615700	gene	260434	PYDC1	ENSG00000169900
615701	gene	152138	PYDC2	ENSG00000253548
615702	gene	390195	OR5AN1	ENSG00000176495
615703	phenotype			
615704	phenotype			
615705	phenotype			
615706	phenotype			
615707	phenotype			
615708	gene	26036	ZNF451	ENSG00000112200
615709	phenotype			
615710	phenotype			
615711	predominantly phenotypes			
615712	gene	90268	OTULIN	ENSG00000154124
615713	gene	23613	ZMYND8	ENSG00000101040
615714	gene	80862	POLR1HASP	ENSG00000204623
615715	phenotype			
615716	phenotype			
615717	gene	359710	BPIFB3	ENSG00000186190
615718	gene	149954	BPIFB4	ENSG00000186191
615719	gene	100507043	TUNAR	ENSG00000250366
615720	gene	57709	SLC7A14	ENSG00000013293
615721	phenotype			
615722	phenotype			
615723	phenotype			
615724	phenotype			
615725	phenotype			
615726	phenotype			
615727	gene	553128	KIR2DL5B	
615728	phenotype			
615729	gene	22904	SBNO2	ENSG00000064932
615730	gene	85440	DOCK7	ENSG00000116641
615731	phenotype			
615732	gene	55695	NSUN5	ENSG00000130305
615733	gene	114049	BUD23	ENSG00000071462
615734	gene	22911	WDR47	ENSG00000085433
615735	phenotype			
615736	gene	641700	ECSCR	ENSG00000249751
615737	gene	390243	IZUMO1R	ENSG00000183560
615738	gene	738	VPS51	ENSG00000149823
615739	gene	5462	POU5F1B	ENSG00000212993
615740	gene	9779	TBC1D5	ENSG00000131374
615741	gene	9812	DELE1	ENSG00000081791
615742	gene	9827	RGP1	ENSG00000107185
615743	gene	55209	SETD5	ENSG00000168137
615744	phenotype			
615745	phenotype			
615746	gene	79364	ZXDC	ENSG00000070476
615747	gene	1088	CEACAM8	ENSG00000124469
615748	gene	23325	WASHC4	ENSG00000136051
615749	phenotype			
615750	phenotype			
615751	phenotype			
615752	phenotype			
615753	gene	9883	POM121	ENSG00000196313
615754	gene	100101267	POM121C	ENSG00000272391
615755	gene	283150	FOXR1	ENSG00000176302
615756	gene	9728	SECISBP2L	ENSG00000138593
615757	gene	55857	KIZ	ENSG00000088970
615758	phenotype			
615759	gene	57498	KIDINS220	ENSG00000134313
615760	phenotype			
615761	phenotype			
615762	gene	643226	GRXCR2	ENSG00000204928
615763	phenotype			
615764	gene	101234261	LSINCT5	ENSG00000281560
615765	gene	162515	SLC16A11	ENSG00000174326
615766	gene	23255	MTCL1	ENSG00000168502
615767	phenotype			
615768	phenotype			
615769	gene	26049	FAM169A	ENSG00000198780
615770	phenotype			
615771	phenotype			
615772	gene	645638	WFDC21P	ENSG00000261040
615773	gene	57001	SDHAF3	ENSG00000196636
615774	phenotype			
615775	gene	644186	SYCE3	ENSG00000217442
615776	gene	9696	CROCC	ENSG00000058453
615777	phenotype			
615778	gene	24146	CLDN15	ENSG00000106404
615779	phenotype			
615780	phenotype			
615781	gene	130340	AP1S3	ENSG00000152056
615782	gene	148523	CIART	ENSG00000159208
615783	gene	375607	NAT16	ENSG00000167011
615784	gene	2882	GPX7	ENSG00000116157
615785	phenotype			
615786	gene	138151	NACC2	ENSG00000148411
615787	gene	133686	NADK2	ENSG00000152620
615788	gene	10443	N4BP2L2	ENSG00000244754
615789	phenotype			
615790	gene	27245	AHDC1	ENSG00000126705
615791	gene	79873	NUDT18	ENSG00000275074
615792	gene	55270	NUDT15	ENSG00000136159
615793	gene	140862	ISM1	ENSG00000101230
615794	gene	22862	FNDC3A	ENSG00000102531
615795	gene	161835	FSIP1	ENSG00000150667
615796	gene	401024	FSIP2	ENSG00000188738
615797	gene	10255	HCG9	ENSG00000204625
615798	gene	9074	CLDN6	ENSG00000184697
615799	gene	9080	CLDN9	ENSG00000213937
615800	gene	29999	FSCN3	ENSG00000106328
615801	moved/removed			
615802	phenotype			
615803	phenotype			
615804	gene	646625	URAD	ENSG00000183463
615805	gene	100130015	URAHP	ENSG00000290738
615806	gene	121260	SLC15A4	ENSG00000139370
615807	phenotype			
615808	gene	51372	TMA7	ENSG00000232112
615809	phenotype			
615810	gene	28970	C11orf54	ENSG00000182919
615811	gene	53938	PPIL3	ENSG00000240344
615812	phenotype			
615813	gene	54540	FAM193B	ENSG00000146067
615814	gene	6815	STYX	ENSG00000198252
615815	gene	100507392	SENCR	ENSG00000254703
615816	phenotype			
615817	phenotype			
615818	gene	23378	RRP8	ENSG00000132275
615819	gene	445329	SULT1A4	ENSG00000213648
615820	gene	50717	DCAF8	ENSG00000132716
615821	phenotype			
615822	gene	548593	SLX1A	ENSG00000132207
615823	gene	79008	SLX1B	ENSG00000181625
615824	phenotype			
615825	gene	56241	SUSD2	ENSG00000099994
615826	gene	90529	STPG1	ENSG00000001460
615827	gene	55061	SUSD4	ENSG00000143502
615828	phenotype			
615829	phenotype			
615830	phenotype			
615831	gene	90624	LYRM7	ENSG00000186687
615832	gene	134111	UBE2QL1	ENSG00000215218
615833	phenotype			
615834	phenotype			
615835	phenotype			
615836	gene	23012	STK38L	ENSG00000211455
615837	phenotype			
615838	phenotype			
615839	gene	26063	DECR2	ENSG00000242612
615840	gene	79077	DCTPP1	ENSG00000179958
615841	phenotype			
615842	phenotype			
615843	gene	8560	DEGS1	ENSG00000143753
615844	gene	26007	TKFC	ENSG00000149476
